year,score,votes,runtime,genre_mapped,director_mapped,star_mapped,votos_por_director,rating_mapped,facutracion_por_director,budget,facturacion_por_genre,gross
2000.0,6.1,7000.0,82.0,13.0,0.0,80.0,45083.33,10.0,56779632.21,5000000.0,239229987.45,16643191.0
2000.0,4.7,11000.0,108.0,17.0,60.0,90.0,102137.26,8.0,87793911.98,25000000.0,44331874.3,24362772.0
2000.0,5.7,7000.0,101.0,17.0,50.0,90.0,82822.56,6.0,74591008.15,14000000.0,44331874.3,3284444.0
2001.0,7.6,685000.0,152.0,18.0,50.0,100.0,82822.56,10.0,74591008.15,125000000.0,109325230.22,1006968171.0
2001.0,6.8,362000.0,106.0,19.0,50.0,90.0,82822.56,8.0,74591008.15,38000000.0,145508580.85,207305509.0
2001.0,8.8,1700000.0,178.0,19.0,60.0,90.0,102137.26,8.0,87793911.98,93000000.0,145508580.85,897690072.0
2001.0,6.3,195000.0,96.0,17.0,60.0,90.0,102137.26,8.0,87793911.98,18000000.0,44331874.3,141774679.0
2001.0,7.9,331000.0,147.0,15.0,70.0,100.0,149101.61,6.0,118734218.5,15000000.0,38930959.49,20263646.0
2001.0,8.1,838000.0,92.0,13.0,80.0,80.0,236700.88,9.0,191060303.56,115000000.0,239229987.45,579707738.0
2001.0,8.6,679000.0,125.0,13.0,80.0,80.0,236700.88,10.0,191060303.56,19000000.0,239229987.45,355475245.0
2001.0,8.0,755000.0,113.0,15.0,70.0,100.0,149101.61,6.0,118734218.5,6000000.0,38930959.49,6981586.0
2001.0,5.7,100000.0,89.0,17.0,50.0,80.0,82822.56,6.0,74591008.15,15000000.0,44331874.3,66468985.0
2001.0,5.3,152000.0,83.0,17.0,50.0,90.0,82822.56,6.0,74591008.15,45000000.0,44331874.3,141220678.0
2001.0,7.7,531000.0,116.0,13.0,60.0,100.0,102137.26,8.0,87793911.98,85000000.0,39401196.17,450717150.0
2001.0,7.9,630000.0,90.0,13.0,70.0,90.0,149101.61,10.0,118734218.5,60000000.0,239229987.45,487853320.0
2001.0,7.7,372000.0,144.0,15.0,80.0,90.0,236700.88,6.0,191060303.56,92000000.0,38930959.49,172989651.0
2001.0,6.4,307000.0,130.0,19.0,50.0,80.0,82822.56,8.0,74591008.15,98000000.0,145508580.85,443280904.0
